@relation snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute snake_pos_x {'\'(-inf-56]\'','\'(56-102]\'','\'(102-148]\'','\'(148-194]\'','\'(194-240]\'','\'(240-286]\'','\'(286-332]\'','\'(332-378]\'','\'(378-424]\'','\'(424-inf)\''}
@attribute snake_pos_y {'\'(-inf-47]\'','\'(47-94]\'','\'(94-141]\'','\'(141-188]\'','\'(188-235]\'','\'(235-282]\'','\'(282-329]\'','\'(329-376]\'','\'(376-423]\'','\'(423-inf)\''}
@attribute snake_pos_x_next {'\'(-inf-57]\'','\'(57-104]\'','\'(104-151]\'','\'(151-198]\'','\'(198-245]\'','\'(245-292]\'','\'(292-339]\'','\'(339-386]\'','\'(386-433]\'','\'(433-inf)\''}
@attribute snake_pos_y_next {'\'(-inf-47]\'','\'(47-94]\'','\'(94-141]\'','\'(141-188]\'','\'(188-235]\'','\'(235-282]\'','\'(282-329]\'','\'(329-376]\'','\'(376-423]\'','\'(423-inf)\''}
@attribute food_pos_x {'\'(-inf-55]\'','\'(55-100]\'','\'(100-145]\'','\'(145-190]\'','\'(190-235]\'','\'(235-280]\'','\'(280-325]\'','\'(325-370]\'','\'(370-415]\'','\'(415-inf)\''}
@attribute food_pos_y {'\'(-inf-55]\'','\'(55-100]\'','\'(100-145]\'','\'(145-190]\'','\'(190-235]\'','\'(235-280]\'','\'(280-325]\'','\'(325-370]\'','\'(370-415]\'','\'(415-inf)\''}
@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute manhattan_distance {'\'(-inf-78]\'','\'(78-146]\'','\'(146-214]\'','\'(214-282]\'','\'(282-350]\'','\'(350-418]\'','\'(418-486]\'','\'(486-554]\'','\'(554-622]\'','\'(622-inf)\''}
@attribute next_manhattan_distance {'\'(-inf-69]\'','\'(69-138]\'','\'(138-207]\'','\'(207-276]\'','\'(276-345]\'','\'(345-414]\'','\'(414-483]\'','\'(483-552]\'','\'(552-621]\'','\'(621-inf)\''}
@attribute large_snake {'\'(-inf-8.8]\'','\'(8.8-14.6]\'','\'(14.6-20.4]\'','\'(20.4-26.2]\'','\'(26.2-32]\'','\'(32-37.8]\'','\'(37.8-43.6]\'','\'(43.6-49.4]\'','\'(49.4-55.2]\'','\'(55.2-inf)\''}
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute score {'\'(-inf-304.1]\'','\'(304.1-644.2]\'','\'(644.2-984.3]\'','\'(984.3-1324.4]\'','\'(1324.4-1664.5]\'','\'(1664.5-2004.6]\'','\'(2004.6-2344.7]\'','\'(2344.7-2684.8]\'','\'(2684.8-3024.9]\'','\'(3024.9-inf)\''}
@attribute next_score {'\'(-inf-304.1]\'','\'(304.1-644.2]\'','\'(644.2-984.3]\'','\'(984.3-1324.4]\'','\'(1324.4-1664.5]\'','\'(1664.5-2004.6]\'','\'(2004.6-2344.7]\'','\'(2344.7-2684.8]\'','\'(2684.8-3024.9]\'','\'(3024.9-inf)\''}
@attribute cycle {True,False}
@attribute body_indirection {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
'\'(240-286]\'','\'(235-282]\'','\'(245-292]\'','\'(235-282]\'','\'(-inf-55]\'','\'(190-235]\'',UP,LEFT,'\'(282-350]\'','\'(276-345]\'','\'(43.6-49.4]\'',True,True,True,False,'\'(2344.7-2684.8]\'','\'(2344.7-2684.8]\'',False,False,UP,UP
'\'(102-148]\'','\'(423-inf)\'','\'(104-151]\'','\'(423-inf)\'','\'(190-235]\'','\'(415-inf)\'',UP,RIGHT,'\'(78-146]\'','\'(69-138]\'','\'(43.6-49.4]\'',False,True,True,True,'\'(2344.7-2684.8]\'','\'(2344.7-2684.8]\'',False,False,LEFT,LEFT
'\'(286-332]\'','\'(423-inf)\'','\'(292-339]\'','\'(423-inf)\'','\'(325-370]\'','\'(415-inf)\'',EQUAL,RIGHT,'\'(-inf-78]\'','\'(-inf-69]\'','\'(55.2-inf)\'',True,False,False,True,'\'(3024.9-inf)\'','\'(3024.9-inf)\'',False,False,RIGHT,RIGHT
'\'(194-240]\'','\'(94-141]\'','\'(198-245]\'','\'(94-141]\'','\'(-inf-55]\'','\'(415-inf)\'',DOWN,LEFT,'\'(486-554]\'','\'(483-552]\'','\'(8.8-14.6]\'',True,True,False,True,'\'(304.1-644.2]\'','\'(304.1-644.2]\'',False,False,DOWN,DOWN
'\'(56-102]\'','\'(376-423]\'','\'(57-104]\'','\'(376-423]\'','\'(145-190]\'','\'(370-415]\'',DOWN,RIGHT,'\'(78-146]\'','\'(69-138]\'','\'(49.4-55.2]\'',True,False,True,True,'\'(2684.8-3024.9]\'','\'(2684.8-3024.9]\'',True,True,RIGHT,RIGHT
'\'(424-inf)\'','\'(235-282]\'','\'(433-inf)\'','\'(235-282]\'','\'(235-280]\'','\'(190-235]\'',EQUAL,EQUAL,'\'(214-282]\'','\'(207-276]\'','\'(14.6-20.4]\'',True,True,False,True,'\'(644.2-984.3]\'','\'(644.2-984.3]\'',False,False,DOWN,DOWN
'\'(378-424]\'','\'(-inf-47]\'','\'(386-433]\'','\'(-inf-47]\'','\'(415-inf)\'','\'(-inf-55]\'',DOWN,RIGHT,'\'(-inf-78]\'','\'(-inf-69]\'','\'(-inf-8.8]\'',True,False,False,True,'\'(-inf-304.1]\'','\'(-inf-304.1]\'',False,False,RIGHT,RIGHT
'\'(286-332]\'','\'(188-235]\'','\'(339-386]\'','\'(188-235]\'','\'(415-inf)\'','\'(145-190]\'',UP,RIGHT,'\'(146-214]\'','\'(138-207]\'','\'(14.6-20.4]\'',True,False,True,True,'\'(644.2-984.3]\'','\'(644.2-984.3]\'',False,False,RIGHT,RIGHT
'\'(286-332]\'','\'(141-188]\'','\'(245-292]\'','\'(141-188]\'','\'(280-325]\'','\'(-inf-55]\'',UP,EQUAL,'\'(78-146]\'','\'(69-138]\'','\'(37.8-43.6]\'',True,True,True,False,'\'(2004.6-2344.7]\'','\'(2004.6-2344.7]\'',False,False,UP,UP
'\'(-inf-56]\'','\'(376-423]\'','\'(-inf-57]\'','\'(376-423]\'','\'(-inf-55]\'','\'(370-415]\'',DOWN,EQUAL,'\'(-inf-78]\'','\'(-inf-69]\'','\'(37.8-43.6]\'',True,True,False,True,'\'(2004.6-2344.7]\'','\'(2004.6-2344.7]\'',True,False,DOWN,DOWN
'\'(-inf-56]\'','\'(282-329]\'','\'(57-104]\'','\'(282-329]\'','\'(280-325]\'','\'(-inf-55]\'',UP,RIGHT,'\'(486-554]\'','\'(414-483]\'','\'(37.8-43.6]\'',True,False,True,True,'\'(2344.7-2684.8]\'','\'(2344.7-2684.8]\'',False,False,RIGHT,RIGHT
'\'(194-240]\'','\'(423-inf)\'','\'(198-245]\'','\'(423-inf)\'','\'(325-370]\'','\'(280-325]\'',UP,RIGHT,'\'(214-282]\'','\'(207-276]\'','\'(20.4-26.2]\'',True,False,True,True,'\'(984.3-1324.4]\'','\'(984.3-1324.4]\'',False,False,RIGHT,RIGHT
