@relation 'snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R3-4,10,16-17'

@attribute snake_pos_x {'\'(-inf-56]\'','\'(56-102]\'','\'(102-148]\'','\'(148-194]\'','\'(194-240]\'','\'(240-286]\'','\'(286-332]\'','\'(332-378]\'','\'(378-424]\'','\'(424-inf)\''}
@attribute snake_pos_y {'\'(-inf-47]\'','\'(47-94]\'','\'(94-141]\'','\'(141-188]\'','\'(188-235]\'','\'(235-282]\'','\'(282-329]\'','\'(329-376]\'','\'(376-423]\'','\'(423-inf)\''}
@attribute food_pos_x {'\'(-inf-55]\'','\'(55-100]\'','\'(100-145]\'','\'(145-190]\'','\'(190-235]\'','\'(235-280]\'','\'(280-325]\'','\'(325-370]\'','\'(370-415]\'','\'(415-inf)\''}
@attribute food_pos_y {'\'(-inf-55]\'','\'(55-100]\'','\'(100-145]\'','\'(145-190]\'','\'(190-235]\'','\'(235-280]\'','\'(280-325]\'','\'(325-370]\'','\'(370-415]\'','\'(415-inf)\''}
@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute manhattan_distance {'\'(-inf-78]\'','\'(78-146]\'','\'(146-214]\'','\'(214-282]\'','\'(282-350]\'','\'(350-418]\'','\'(418-486]\'','\'(486-554]\'','\'(554-622]\'','\'(622-inf)\''}
@attribute large_snake {'\'(-inf-8.8]\'','\'(8.8-14.6]\'','\'(14.6-20.4]\'','\'(20.4-26.2]\'','\'(26.2-32]\'','\'(32-37.8]\'','\'(37.8-43.6]\'','\'(43.6-49.4]\'','\'(49.4-55.2]\'','\'(55.2-inf)\''}
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute cycle {True,False}
@attribute body_indirection {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
'\'(378-424]\'','\'(235-282]\'','\'(325-370]\'','\'(190-235]\'',UP,LEFT,'\'(-inf-78]\'','\'(49.4-55.2]\'',True,False,True,True,True,False,RIGHT,RIGHT
'\'(56-102]\'','\'(282-329]\'','\'(280-325]\'','\'(-inf-55]\'',UP,RIGHT,'\'(418-486]\'','\'(37.8-43.6]\'',True,False,True,True,False,False,RIGHT,RIGHT
'\'(194-240]\'','\'(141-188]\'','\'(235-280]\'','\'(145-190]\'',UP,RIGHT,'\'(-inf-78]\'','\'(26.2-32]\'',False,True,True,True,False,False,LEFT,LEFT
'\'(286-332]\'','\'(329-376]\'','\'(415-inf)\'','\'(325-370]\'',DOWN,RIGHT,'\'(146-214]\'','\'(32-37.8]\'',True,False,True,True,False,False,RIGHT,RIGHT
'\'(148-194]\'','\'(376-423]\'','\'(190-235]\'','\'(325-370]\'',UP,RIGHT,'\'(78-146]\'','\'(37.8-43.6]\'',True,False,True,True,True,False,RIGHT,RIGHT
'\'(424-inf)\'','\'(188-235]\'','\'(100-145]\'','\'(55-100]\'',UP,LEFT,'\'(418-486]\'','\'(55.2-inf)\'',True,True,False,True,True,False,DOWN,DOWN
'\'(286-332]\'','\'(141-188]\'','\'(280-325]\'','\'(100-145]\'',UP,LEFT,'\'(-inf-78]\'','\'(43.6-49.4]\'',True,True,True,False,False,False,UP,LEFT
'\'(56-102]\'','\'(94-141]\'','\'(55-100]\'','\'(145-190]\'',DOWN,EQUAL,'\'(78-146]\'','\'(8.8-14.6]\'',True,True,False,True,True,False,DOWN,DOWN
'\'(378-424]\'','\'(188-235]\'','\'(325-370]\'','\'(415-inf)\'',DOWN,LEFT,'\'(214-282]\'','\'(55.2-inf)\'',True,True,False,True,False,False,DOWN,DOWN
'\'(286-332]\'','\'(188-235]\'','\'(-inf-55]\'','\'(325-370]\'',DOWN,LEFT,'\'(418-486]\'','\'(32-37.8]\'',True,True,False,True,False,False,DOWN,DOWN
'\'(102-148]\'','\'(94-141]\'','\'(-inf-55]\'','\'(415-inf)\'',DOWN,LEFT,'\'(350-418]\'','\'(8.8-14.6]\'',False,True,True,True,False,False,LEFT,LEFT
'\'(148-194]\'','\'(-inf-47]\'','\'(415-inf)\'','\'(-inf-55]\'',DOWN,RIGHT,'\'(214-282]\'','\'(-inf-8.8]\'',True,False,False,True,False,False,RIGHT,RIGHT
'\'(286-332]\'','\'(141-188]\'','\'(235-280]\'','\'(145-190]\'',UP,LEFT,'\'(-inf-78]\'','\'(26.2-32]\'',True,True,False,True,False,False,DOWN,LEFT
'\'(332-378]\'','\'(47-94]\'','\'(370-415]\'','\'(55-100]\'',DOWN,RIGHT,'\'(-inf-78]\'','\'(49.4-55.2]\'',True,False,True,True,False,False,RIGHT,RIGHT
'\'(102-148]\'','\'(94-141]\'','\'(100-145]\'','\'(55-100]\'',UP,LEFT,'\'(-inf-78]\'','\'(26.2-32]\'',False,True,True,True,False,False,LEFT,LEFT
'\'(148-194]\'','\'(-inf-47]\'','\'(370-415]\'','\'(-inf-55]\'',EQUAL,RIGHT,'\'(146-214]\'','\'(-inf-8.8]\'',True,True,True,False,False,False,UP,UP
'\'(148-194]\'','\'(188-235]\'','\'(145-190]\'','\'(325-370]\'',DOWN,EQUAL,'\'(78-146]\'','\'(49.4-55.2]\'',True,True,False,True,True,False,DOWN,DOWN
'\'(286-332]\'','\'(47-94]\'','\'(280-325]\'','\'(100-145]\'',DOWN,RIGHT,'\'(78-146]\'','\'(43.6-49.4]\'',True,True,True,False,False,False,UP,RIGHT
'\'(378-424]\'','\'(188-235]\'','\'(370-415]\'','\'(145-190]\'',UP,LEFT,'\'(-inf-78]\'','\'(43.6-49.4]\'',True,True,False,True,False,False,DOWN,DOWN
'\'(332-378]\'','\'(141-188]\'','\'(415-inf)\'','\'(-inf-55]\'',UP,RIGHT,'\'(214-282]\'','\'(14.6-20.4]\'',True,False,True,True,True,False,RIGHT,RIGHT
'\'(-inf-56]\'','\'(329-376]\'','\'(-inf-55]\'','\'(370-415]\'',DOWN,RIGHT,'\'(78-146]\'','\'(37.8-43.6]\'',True,True,False,True,True,False,DOWN,DOWN
'\'(378-424]\'','\'(282-329]\'','\'(235-280]\'','\'(190-235]\'',UP,LEFT,'\'(146-214]\'','\'(14.6-20.4]\'',False,True,True,True,False,False,LEFT,LEFT
'\'(240-286]\'','\'(235-282]\'','\'(235-280]\'','\'(190-235]\'',UP,EQUAL,'\'(-inf-78]\'','\'(14.6-20.4]\'',True,True,True,False,True,False,UP,UP
'\'(286-332]\'','\'(141-188]\'','\'(415-inf)\'','\'(235-280]\'',DOWN,RIGHT,'\'(214-282]\'','\'(14.6-20.4]\'',True,False,True,True,False,False,RIGHT,RIGHT
'\'(286-332]\'','\'(47-94]\'','\'(100-145]\'','\'(-inf-55]\'',UP,LEFT,'\'(146-214]\'','\'(26.2-32]\'',True,True,True,False,True,False,UP,UP
