@relation snake_game

@attribute snake_pos_x NUMERIC
@attribute snake_pos_y NUMERIC
@attribute snake_pos_x_next NUMERIC
@attribute snake_pos_y_next NUMERIC
@attribute food_pos_x NUMERIC
@attribute food_pos_y NUMERIC
@attribute food_side_y {UP, DOWN, EQUAL}
@attribute food_side_x {RIGHT, LEFT, EQUAL}
@attribute manhattan_distance NUMERIC
@attribute next_manhattan_distance NUMERIC
@attribute large_snake NUMERIC
@attribute right_safe {True, False}
@attribute left_safe {True, False}
@attribute up_safe {True, False}
@attribute down_safe {True, False}
@attribute cycle {True, False}
@attribute body_indirection {True, False}
@attribute previous_direction {UP, DOWN, LEFT, RIGHT}
@attribute direction {UP, DOWN, LEFT, RIGHT}
@attribute score NUMERIC
@attribute next_score NUMERIC

@data
340,50,350,50,360,270,DOWN,RIGHT,240,230,3,True,False,True,True,False,False,RIGHT,RIGHT,-24,-25
350,50,360,50,360,270,DOWN,RIGHT,230,220,3,True,False,True,True,False,False,RIGHT,RIGHT,-25,-26
350,50,360,50,360,270,DOWN,RIGHT,230,220,3,True,False,True,True,False,False,RIGHT,RIGHT,-25,-26
360,50,360,60,360,270,DOWN,EQUAL,220,210,3,True,False,True,True,False,False,RIGHT,DOWN,-26,-27
360,50,360,60,360,270,DOWN,EQUAL,220,210,3,True,False,True,True,False,False,DOWN,DOWN,-26,-27
360,60,360,70,360,270,DOWN,EQUAL,210,200,3,True,True,False,True,False,False,DOWN,DOWN,-27,-28
360,60,360,70,360,270,DOWN,EQUAL,210,200,3,True,True,False,True,False,False,DOWN,DOWN,-27,-28
360,70,360,80,360,270,DOWN,EQUAL,200,190,3,True,True,False,True,False,False,DOWN,DOWN,-28,-29
360,70,360,80,360,270,DOWN,EQUAL,200,190,3,True,True,False,True,False,False,DOWN,DOWN,-28,-29
360,80,360,90,360,270,DOWN,EQUAL,190,180,3,True,True,False,True,False,False,DOWN,DOWN,-29,-30
360,80,360,90,360,270,DOWN,EQUAL,190,180,3,True,True,False,True,False,False,DOWN,DOWN,-29,-30
360,90,360,100,360,270,DOWN,EQUAL,180,170,3,True,True,False,True,False,False,DOWN,DOWN,-30,-31
360,90,360,100,360,270,DOWN,EQUAL,180,170,3,True,True,False,True,False,False,DOWN,DOWN,-30,-31
360,100,360,110,360,270,DOWN,EQUAL,170,160,3,True,True,False,True,False,False,DOWN,DOWN,-31,-32
360,100,360,110,360,270,DOWN,EQUAL,170,160,3,True,True,False,True,False,False,DOWN,DOWN,-31,-32
360,110,360,120,360,270,DOWN,EQUAL,160,150,3,True,True,False,True,False,False,DOWN,DOWN,-32,-33
360,110,360,120,360,270,DOWN,EQUAL,160,150,3,True,True,False,True,False,False,DOWN,DOWN,-32,-33
360,120,360,130,360,270,DOWN,EQUAL,150,140,3,True,True,False,True,False,False,DOWN,DOWN,-33,-34
360,120,360,130,360,270,DOWN,EQUAL,150,140,3,True,True,False,True,False,False,DOWN,DOWN,-33,-34
360,130,360,140,360,270,DOWN,EQUAL,140,130,3,True,True,False,True,False,False,DOWN,DOWN,-34,-35
360,130,360,140,360,270,DOWN,EQUAL,140,130,3,True,True,False,True,False,False,DOWN,DOWN,-34,-35
360,140,360,150,360,270,DOWN,EQUAL,130,120,3,True,True,False,True,False,False,DOWN,DOWN,-35,-36
360,140,360,150,360,270,DOWN,EQUAL,130,120,3,True,True,False,True,False,False,DOWN,DOWN,-35,-36
360,150,360,160,360,270,DOWN,EQUAL,120,110,3,True,True,False,True,False,False,DOWN,DOWN,-36,-37
360,150,360,160,360,270,DOWN,EQUAL,120,110,3,True,True,False,True,False,False,DOWN,DOWN,-36,-37
360,160,360,170,360,270,DOWN,EQUAL,110,100,3,True,True,False,True,False,False,DOWN,DOWN,-37,-38
360,160,360,170,360,270,DOWN,EQUAL,110,100,3,True,True,False,True,False,False,DOWN,DOWN,-37,-38
360,170,360,180,360,270,DOWN,EQUAL,100,90,3,True,True,False,True,False,False,DOWN,DOWN,-38,-39
360,170,360,180,360,270,DOWN,EQUAL,100,90,3,True,True,False,True,False,False,DOWN,DOWN,-38,-39
360,180,360,190,360,270,DOWN,EQUAL,90,80,3,True,True,False,True,False,False,DOWN,DOWN,-39,-40
360,180,360,190,360,270,DOWN,EQUAL,90,80,3,True,True,False,True,False,False,DOWN,DOWN,-39,-40
360,190,360,200,360,270,DOWN,EQUAL,80,70,3,True,True,False,True,False,False,DOWN,DOWN,-40,-41
360,190,360,200,360,270,DOWN,EQUAL,80,70,3,True,True,False,True,False,False,DOWN,DOWN,-40,-41
360,200,360,210,360,270,DOWN,EQUAL,70,60,3,True,True,False,True,False,False,DOWN,DOWN,-41,-42
