@relation 'snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R3-4,10,16-17-weka.filters.unsupervised.attribute.Remove-R1-4,8,13'

@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute manhattan_distance numeric
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute body_indirection {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
UP,RIGHT,160,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,130,True,True,True,False,False,UP,UP
EQUAL,LEFT,170,True,True,True,False,False,UP,LEFT
EQUAL,LEFT,220,False,True,True,True,False,LEFT,LEFT
UP,RIGHT,120,True,False,True,True,False,RIGHT,RIGHT
DOWN,EQUAL,20,True,True,False,True,False,DOWN,DOWN
UP,RIGHT,460,True,True,True,False,False,UP,UP
EQUAL,RIGHT,80,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,530,True,True,True,False,False,UP,UP
EQUAL,RIGHT,50,True,True,False,False,False,DOWN,RIGHT
UP,EQUAL,50,True,True,True,False,False,UP,UP
UP,LEFT,430,True,False,True,True,False,RIGHT,RIGHT
EQUAL,EQUAL,320,True,False,True,True,False,RIGHT,RIGHT
EQUAL,LEFT,210,False,True,True,True,False,LEFT,LEFT
UP,RIGHT,60,True,True,False,True,False,DOWN,DOWN
DOWN,LEFT,90,True,True,False,True,False,DOWN,DOWN
EQUAL,LEFT,80,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,150,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,60,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,30,False,True,False,True,False,LEFT,LEFT
UP,RIGHT,230,True,True,True,False,False,UP,UP
UP,LEFT,30,True,True,True,False,False,UP,UP
UP,RIGHT,340,True,False,True,True,False,RIGHT,RIGHT
DOWN,EQUAL,140,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,130,True,False,True,True,True,RIGHT,RIGHT
DOWN,LEFT,270,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,250,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,100,True,True,False,True,False,DOWN,LEFT
DOWN,RIGHT,80,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,500,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,130,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,90,True,True,False,True,False,DOWN,DOWN
UP,LEFT,20,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,320,True,True,True,False,False,UP,UP
DOWN,LEFT,370,False,True,True,True,False,LEFT,LEFT
DOWN,EQUAL,160,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,260,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,150,False,True,True,True,False,LEFT,LEFT
EQUAL,LEFT,170,False,True,True,True,False,LEFT,LEFT
DOWN,EQUAL,360,True,True,False,True,False,DOWN,DOWN
DOWN,EQUAL,190,False,True,True,True,False,LEFT,DOWN
EQUAL,EQUAL,270,True,True,True,False,False,UP,UP
UP,RIGHT,510,True,True,True,False,False,UP,RIGHT
DOWN,EQUAL,160,True,True,False,True,False,DOWN,DOWN
DOWN,LEFT,230,True,True,False,True,False,DOWN,DOWN
UP,LEFT,330,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,150,False,True,True,True,False,LEFT,LEFT
UP,EQUAL,100,True,True,True,False,True,UP,UP
UP,LEFT,30,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,130,True,True,False,True,False,DOWN,DOWN
DOWN,EQUAL,20,True,True,False,True,False,DOWN,DOWN
UP,LEFT,130,False,True,True,True,False,LEFT,LEFT
UP,LEFT,100,False,True,True,True,False,LEFT,UP
DOWN,LEFT,140,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,30,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,270,True,True,False,True,False,DOWN,DOWN
DOWN,EQUAL,70,True,True,False,True,False,DOWN,DOWN
UP,LEFT,570,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,70,True,True,False,True,False,DOWN,DOWN
UP,EQUAL,40,True,True,True,False,False,UP,UP
UP,EQUAL,70,True,True,True,False,False,UP,UP
UP,LEFT,450,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,110,True,False,True,True,False,RIGHT,RIGHT
EQUAL,LEFT,50,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,80,True,False,False,True,False,RIGHT,RIGHT
DOWN,EQUAL,120,True,True,False,True,True,DOWN,DOWN
DOWN,LEFT,310,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,390,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,560,True,False,True,False,False,UP,UP
UP,RIGHT,230,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,200,True,True,True,False,False,UP,UP
UP,LEFT,70,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,50,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,210,True,False,True,True,False,RIGHT,RIGHT
UP,LEFT,400,True,True,True,False,False,UP,UP
DOWN,LEFT,320,True,True,False,True,False,DOWN,DOWN
UP,RIGHT,400,True,False,True,False,False,RIGHT,RIGHT
DOWN,EQUAL,90,True,True,False,True,False,DOWN,DOWN
DOWN,LEFT,60,True,False,True,True,False,RIGHT,DOWN
DOWN,RIGHT,450,True,True,False,True,False,DOWN,DOWN
UP,EQUAL,50,True,True,True,False,False,UP,UP
DOWN,LEFT,140,True,True,False,True,False,DOWN,DOWN
DOWN,EQUAL,20,True,True,False,True,False,DOWN,DOWN
DOWN,LEFT,290,False,True,True,True,False,LEFT,LEFT
UP,RIGHT,460,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,130,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,110,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,290,True,False,True,True,False,RIGHT,RIGHT
UP,LEFT,500,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,110,False,True,True,True,False,LEFT,LEFT
UP,LEFT,330,True,True,True,False,False,UP,UP
DOWN,LEFT,200,True,True,True,False,False,UP,UP
DOWN,LEFT,150,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,70,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,210,False,True,True,True,False,LEFT,DOWN
UP,EQUAL,80,True,True,True,False,False,UP,UP
DOWN,LEFT,140,False,True,True,True,False,LEFT,LEFT
EQUAL,EQUAL,550,True,True,False,True,False,DOWN,DOWN
UP,LEFT,210,True,True,True,False,False,UP,UP
DOWN,LEFT,360,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,110,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,70,False,True,True,True,False,LEFT,LEFT
EQUAL,LEFT,230,False,True,True,True,False,LEFT,LEFT
DOWN,EQUAL,100,True,True,False,True,False,DOWN,DOWN
UP,EQUAL,210,True,True,True,False,True,UP,UP
UP,RIGHT,350,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,240,True,True,False,True,False,DOWN,DOWN
UP,RIGHT,100,True,False,True,True,False,RIGHT,RIGHT
EQUAL,LEFT,90,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,190,False,True,True,True,False,LEFT,LEFT
UP,EQUAL,140,True,True,True,False,False,UP,UP
DOWN,LEFT,290,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,220,True,True,True,False,False,UP,RIGHT
DOWN,RIGHT,350,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,220,True,True,False,True,False,DOWN,DOWN
UP,RIGHT,300,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,200,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,90,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,20,False,True,True,True,False,LEFT,LEFT
UP,EQUAL,30,True,True,True,False,False,UP,UP
DOWN,RIGHT,160,True,False,False,True,False,RIGHT,RIGHT
UP,RIGHT,50,True,True,False,True,False,DOWN,DOWN
UP,LEFT,420,True,True,True,False,False,UP,UP
EQUAL,EQUAL,280,True,True,False,True,False,DOWN,DOWN
UP,RIGHT,40,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,500,True,True,False,True,False,DOWN,DOWN
EQUAL,LEFT,120,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,470,True,False,True,True,False,RIGHT,RIGHT
DOWN,EQUAL,120,True,True,False,True,True,DOWN,DOWN
UP,LEFT,400,True,True,True,False,False,UP,UP
DOWN,LEFT,90,False,True,True,True,False,LEFT,LEFT
UP,LEFT,280,True,True,True,False,False,UP,UP
DOWN,EQUAL,140,True,True,False,True,False,DOWN,DOWN
UP,EQUAL,220,True,True,True,False,False,UP,UP
DOWN,RIGHT,210,True,False,True,True,False,RIGHT,RIGHT
DOWN,EQUAL,30,True,True,False,True,False,DOWN,DOWN
DOWN,EQUAL,50,True,False,False,True,True,DOWN,DOWN
DOWN,LEFT,300,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,270,True,False,True,True,False,RIGHT,RIGHT
UP,EQUAL,140,True,True,True,False,False,UP,UP
DOWN,RIGHT,90,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,180,True,True,True,False,False,UP,UP
UP,LEFT,170,True,True,False,True,False,DOWN,DOWN
EQUAL,LEFT,130,False,True,True,True,False,LEFT,LEFT
UP,LEFT,20,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,230,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,140,True,False,True,True,True,RIGHT,RIGHT
UP,RIGHT,400,True,True,True,False,False,UP,UP
UP,EQUAL,60,True,True,True,False,False,UP,UP
UP,LEFT,50,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,390,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,280,False,True,True,True,False,LEFT,LEFT
DOWN,EQUAL,30,True,True,False,True,False,DOWN,DOWN
UP,RIGHT,390,True,True,True,False,False,UP,UP
UP,LEFT,420,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,380,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,270,True,True,False,True,False,DOWN,DOWN
DOWN,EQUAL,130,False,True,True,True,False,LEFT,LEFT
DOWN,EQUAL,20,False,True,True,True,False,LEFT,DOWN
DOWN,RIGHT,150,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,470,True,True,False,True,False,DOWN,DOWN
DOWN,LEFT,60,False,True,True,True,False,LEFT,DOWN
UP,EQUAL,110,True,True,True,False,False,UP,UP
DOWN,LEFT,540,True,True,False,True,False,DOWN,DOWN
EQUAL,LEFT,120,False,True,True,True,False,LEFT,LEFT
UP,LEFT,320,False,True,True,True,False,LEFT,UP
DOWN,LEFT,210,True,True,False,True,False,DOWN,DOWN
UP,LEFT,250,True,True,True,False,False,UP,UP
EQUAL,LEFT,10,False,True,True,True,False,LEFT,LEFT
EQUAL,LEFT,120,True,True,True,False,True,UP,LEFT
DOWN,RIGHT,630,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,440,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,120,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,90,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,80,False,True,True,True,False,LEFT,DOWN
UP,EQUAL,40,False,True,True,False,True,UP,UP
DOWN,LEFT,80,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,430,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,360,True,False,True,True,False,RIGHT,RIGHT
DOWN,EQUAL,390,False,True,True,True,False,LEFT,DOWN
EQUAL,LEFT,70,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,310,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,190,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,290,True,True,False,True,False,DOWN,DOWN
UP,LEFT,270,False,True,True,True,False,LEFT,LEFT
UP,LEFT,90,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,240,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,240,True,True,True,False,False,UP,UP
UP,LEFT,240,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,60,True,True,False,True,False,DOWN,DOWN
DOWN,LEFT,280,True,True,False,True,False,DOWN,DOWN
UP,RIGHT,440,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,330,True,True,False,True,False,DOWN,DOWN
UP,EQUAL,10,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,620,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,130,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,210,True,True,False,True,False,DOWN,DOWN
DOWN,EQUAL,120,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,180,True,False,True,True,False,RIGHT,RIGHT
EQUAL,RIGHT,30,True,True,True,False,False,UP,RIGHT
EQUAL,LEFT,20,True,True,False,True,False,DOWN,DOWN
DOWN,LEFT,370,True,True,False,True,False,DOWN,DOWN
